Date,COINS Portfolio Value,COINS Portfolio % Daily Change,COINS Portfolio % Change YTD,BCOM Price Per Share,BCOM Price Per Share % Change,BCOM Price % Change YTD,BCOM  Value Compared,Spread: COINS - BCOM Portfolio Value
12/14/2023,"$1,201,770.67",1.28%,1.42%,$98.59,2.27%,-10.63%,"$1,058,973.61","$142,797.06"
12/15/2023,"$1,199,984.60",-0.15%,1.27%,$98.90,0.31%,-10.35%,"$1,062,303.38","$137,681.22"
12/18/2023,"$1,203,215.51",0.27%,1.54%,$99.11,0.21%,-10.16%,"$1,064,559.03","$138,656.48"
12/19/2023,"$1,209,158.58",0.49%,2.04%,$99.58,0.47%,-9.74%,"$1,069,607.38","$139,551.20"
12/20/2023,"$1,197,947.53",-0.93%,1.10%,$99.13,-0.45%,-10.14%,"$1,064,773.85","$133,173.68"
12/21/2023,"$1,206,195.60",0.69%,1.79%,$99.02,-0.11%,-10.24%,"$1,063,592.32","$142,603.28"
12/22/2023,"$1,206,342.00",0.01%,1.80%,$99.35,0.33%,-9.94%,"$1,067,136.91","$139,205.09"
12/25/2023,"$1,206,342.00",0.00%,1.80%,$99.35,0.00%,-9.94%,"$1,067,136.91","$139,205.09"
1/1/2024,"$1,201,679.24",,,$98.65,,,"$1,201,679.24",
1/2/2024,"$1,194,437.81",-0.60%,-0.60%,$98.10,-0.56%,-0.56%,"$1,194,979.56",-$541.75
1/3/2024,"$1,202,607.29",0.68%,0.08%,$98.32,0.22%,-0.33%,"$1,197,659.43","$4,947.86"
1/4/2024,"$1,206,401.81",0.32%,0.39%,$98.31,-0.01%,-0.34%,"$1,197,537.62","$8,864.19"
1/5/2024,"$1,208,181.50",0.15%,0.54%,$98.63,0.33%,-0.02%,"$1,201,435.62","$6,745.88"
1/8/2024,"$1,198,628.75",-0.79%,-0.25%,$97.40,-1.25%,-1.27%,"$1,186,452.69","$12,176.06"
1/9/2024,"$1,209,930.45",0.94%,0.69%,$98.28,0.90%,-0.38%,"$1,197,172.18","$12,758.27"
1/10/2024,"$1,200,769.00",-0.76%,-0.08%,$97.49,-0.80%,-1.18%,"$1,187,549.00","$13,220.00"
1/11/2024,"$1,206,638.01",0.49%,0.41%,$97.67,0.18%,-0.99%,"$1,189,741.63","$16,896.38"
1/12/2024,"$1,215,356.74",0.72%,1.14%,$97.96,0.30%,-0.70%,"$1,193,274.19","$22,082.55"
1/16/2024,"$1,193,096.68",-1.83%,-0.71%,$97.43,-0.54%,-1.24%,"$1,186,818.13","$6,278.55"
