Division in COINS,COINS Division Current Market Value,BCOM Current Market Value,Benchmark Absolute Performance,Relative Performance,Percent of Portfolio
Energy,"$317,404.58","$317,404.61",-8.52%,-0.78%,28.12%
Agriculture,"$368,619.95","$368,619.88",-8.24%,-0.27%,33.31%
Metals,"$403,673.66","$403,673.65",1.17%,0.13%,31.08%
